MR32CSV
Name;01_Gang_17_08
Frequency;100
Date;17-08-2016 12:40:02
"Time,s";"Lumbar Flexion,deg";"Lumbar Lateral - RT,deg";"Lumbar Axial - RT,deg";"Thoracic Flexion,deg";"Thoracic Lateral - RT,deg";"Thoracic Axial - RT,deg";"LT Ellbogen Flexion,deg";"RT Ellbogen Flexion,deg";"LT Shoulder Total Flexion,deg";"RT Shoulder Total Flexion,deg";"LT Schulter Flexion,deg";"RT Schulter Flexion,deg";"LT Schulter Abduktion,deg";"RT Schulter Abduktion,deg";"LT Shoulder Rotation - out,deg";"RT Shoulder Rotation - out,deg";"LT Wrist Extension,deg";"RT Wrist Extension,deg";"LT Wrist Radial,deg";"RT Wrist Radial,deg";"LT Hand Supination,deg";"RT Hand Supination,deg";"LT Hüfte Flexion,deg";"RT Hüfte Flexion,deg";"LT Hüfte Abduktion,deg";"RT Hüfte Abduktion,deg";"LT Hip Rotation - out,deg";"RT Hip Rotation - out,deg";"LT Knie Flexion,deg";"RT Knie Flexion,deg";"LT Knee rotation - out,deg";"RT Knee rotation - out,deg";"LT Knee abduction,deg";"RT Knee abduction,deg";"LT Sprunggelenk Dorsiflexion,deg";"RT Sprunggelenk Dorsiflexion,deg";"LT Ankle Inversion,deg";"RT Ankle Inversion,deg";"LT Ankle Abduction,deg";"RT Ankle Abduction,deg";"Upper spine course,deg";"Upper spine pitch,deg";"Upper spine roll,deg";"Lower spine course,deg";"Lower spine pitch,deg";"Lower spine roll,deg";"Becken course,deg";"Becken pitch,deg";"Becken roll,deg";"LT Upper arm course,deg";"LT Upper arm pitch,deg";"LT Upper arm roll,deg";"LT Forearm course,deg";"LT Forearm pitch,deg";"LT Forearm roll,deg";"LT Hand course,deg";"LT Hand pitch,deg";"LT Hand roll,deg";"LT Thigh course,deg";"LT Thigh pitch,deg";"LT Thigh roll,deg";"LT Shank course,deg";"LT Shank pitch,deg";"LT Shank roll,deg";"LT Foot course,deg";"LT Foot pitch,deg";"LT Foot roll,deg";"RT Upper arm course,deg";"RT Upper arm pitch,deg";"RT Upper arm roll,deg";"RT Forearm course,deg";"RT Forearm pitch,deg";"RT Forearm roll,deg";"RT Hand course,deg";"RT Hand pitch,deg";"RT Hand roll,deg";"RT Thigh course,deg";"RT Thigh pitch,deg";"RT Thigh roll,deg";"RT Shank course,deg";"RT Shank pitch,deg";"RT Shank roll,deg";"RT Foot course,deg";"RT Foot pitch,deg";"RT Foot roll,deg";"Noraxon MyoMotion.Sync,An";"Upper spine Accel Earth X,mG";"Upper spine Accel Earth Y,mG";"Upper spine Accel Earth Z,mG";"LT Upper arm Accel Earth X,mG";"LT Upper arm Accel Earth Y,mG";"LT Upper arm Accel Earth Z,mG";"LT Forearm Accel Earth X,mG";"LT Forearm Accel Earth Y,mG";"LT Forearm Accel Earth Z,mG";"LT Hand Accel Earth X,mG";"LT Hand Accel Earth Y,mG";"LT Hand Accel Earth Z,mG";"RT Upper arm Accel Earth X,mG";"RT Upper arm Accel Earth Y,mG";"RT Upper arm Accel Earth Z,mG";"RT Forearm Accel Earth X,mG";"RT Forearm Accel Earth Y,mG";"RT Forearm Accel Earth Z,mG";"RT Hand Accel Earth X,mG";"RT Hand Accel Earth Y,mG";"RT Hand Accel Earth Z,mG";"Lower spine Accel Earth X,mG";"Lower spine Accel Earth Y,mG";"Lower spine Accel Earth Z,mG";"Becken Accel Earth X,mG";"Becken Accel Earth Y,mG";"Becken Accel Earth Z,mG";"LT Thigh Accel Earth X,mG";"LT Thigh Accel Earth Y,mG";"LT Thigh Accel Earth Z,mG";"LT Shank Accel Earth X,mG";"LT Shank Accel Earth Y,mG";"LT Shank Accel Earth Z,mG";"LT Foot Accel Earth X,mG";"LT Foot Accel Earth Y,mG";"LT Foot Accel Earth Z,mG";"RT Thigh Accel Earth X,mG";"RT Thigh Accel Earth Y,mG";"RT Thigh Accel Earth Z,mG";"RT Shank Accel Earth X,mG";"RT Shank Accel Earth Y,mG";"RT Shank Accel Earth Z,mG";"RT Foot Accel Earth X,mG";"RT Foot Accel Earth Y,mG";"RT Foot Accel Earth Z,mG";"Upper spine Rot X,";"Upper spine Rot Y,";"Upper spine Rot Z,";"LT Upper arm Rot X,";"LT Upper arm Rot Y,";"LT Upper arm Rot Z,";"LT Forearm Rot X,";"LT Forearm Rot Y,";"LT Forearm Rot Z,";"LT Hand Rot X,";"LT Hand Rot Y,";"LT Hand Rot Z,";"RT Upper arm Rot X,";"RT Upper arm Rot Y,";"RT Upper arm Rot Z,";"RT Forearm Rot X,";"RT Forearm Rot Y,";"RT Forearm Rot Z,";"RT Hand Rot X,";"RT Hand Rot Y,";"RT Hand Rot Z,";"Lower spine Rot X,";"Lower spine Rot Y,";"Lower spine Rot Z,";"Becken Rot X,";"Becken Rot Y,";"Becken Rot Z,";"LT Thigh Rot X,";"LT Thigh Rot Y,";"LT Thigh Rot Z,";"LT Shank Rot X,";"LT Shank Rot Y,";"LT Shank Rot Z,";"LT Foot Rot X,";"LT Foot Rot Y,";"LT Foot Rot Z,";"RT Thigh Rot X,";"RT Thigh Rot Y,";"RT Thigh Rot Z,";"RT Shank Rot X,";"RT Shank Rot Y,";"RT Shank Rot Z,";"RT Foot Rot X,";"RT Foot Rot Y,";"RT Foot Rot Z,"
0.00;-2.81927;-2.72207;1.53083;2.85272;2.63811;1.31324;1.81447;-1.33128;2.27046;1.9404;2.26781;1.94019;-0.111813;0.0331514;-40.9093;-40.1941;3.13271;0.811212;-0.77633;1.3811;47.5743;40.1142;4.437;-8.65129;0.681512;-0.471901;2.56451;-8.35422;-1.87614;6.72511;-1.83779;22.4074;-1.01067;2.62275;-4.64986;-9.34408;1.83076;14.2382;-5.17304;-10.8328;273.479;-0.619292;-0.10456;272.028;2.22819;-2.73042;270.499;-0.664665;-0.0668654;314.395;1.38767;0.916237;314.426;3.20116;0.917184;356.694;-0.936189;4.62589;267.927;3.79648;0.444761;269.786;5.6893;-0.382466;274.995;1.06935;-2.11536;233.273;0.920514;-0.957489;233.292;-0.410543;-0.957748;183.402;-0.727315;-1.88187;262.045;-9.15761;1.76527;285.003;-14.344;-6.92972;274.397;-24.5471;11.749;0;-1.82653;5.90691;-0.769899;4.00422;13.2164;0.214226;10.3641;-19.0344;-11.2407;17.0657;4.46467;-6.29425;-9.14307;-1.88809;3.11828;-4.73179;-2.43592;-1.25748;15.2364;-0.141429;3.2892;5.16437;-11.0983;0.97578;-7.68566;0.144654;4.32636;8.76379;4.90111;-7.3693;4.79476;-5.68279;1.333;5.33661;-6.00119;-8.89244;-9.22036;-3.79052;-6.70734;-0.502102;6.26049;0.159449;-1.05833;-5.09672;-0.257441;0.572043;-0.146795;0.78543;0.612475;-0.39499;0.472754;0.438384;-0.574013;0.230301;0.32949;-0.545935;0.22554;-0.658525;-0.293403;-0.589248;-0.578172;-0.380341;-0.453162;-0.504985;-0.377838;-0.503093;0.785025;-0.217299;0.544592;0.478217;-0.132936;0.826427;0.438183;-0.654864;0.24433;0.261374;-0.72241;0.198808;0.22883;-0.261301;-0.00646997;-0.605315;-0.521021;-0.515039;-0.503274;-0.633777;-0.499306;-0.409396;-0.244283;-0.422459
0.01;-2.8174;-2.71137;1.53083;2.84435;2.62623;1.32199;1.81173;-1.34322;2.26816;1.94454;2.26452;1.94437;-0.120525;0.0182671;-40.9327;-40.2043;3.1355;0.817045;-0.783161;1.38415;47.5896;40.1142;4.44793;-8.64808;0.68698;-0.474032;2.57094;-8.35544;-1.87046;6.72113;-1.82084;22.4259;-1.01505;2.63022;-4.63432;-9.33798;1.84048;14.2426;-5.19865;-10.8399;273.479;-0.619292;-0.10456;272.02;2.21966;-2.71845;270.491;-0.670989;-0.0652884;314.414;1.39068;0.908574;314.446;3.20116;0.909511;356.694;-0.936189;4.61721;267.909;3.80089;0.451019;269.752;5.68599;-0.381574;274.985;1.08072;-2.12407;233.265;0.932707;-0.949773;233.284;-0.410543;-0.94972;183.39;-0.724017;-1.88187;262.036;-9.16059;1.76918;285.013;-14.3404;-6.93648;274.397;-24.5398;11.7471;0;-3.34521;3.92219;0.570296;-2.02745;7.20218;6.15899;4.4077;-17.1538;5.00116;16.0745;2.2954;5.21047;-2.18397;0.875637;12.1635;2.00652;-1.72696;13.1076;19.7389;-3.3943;10.2862;4.53199;-5.88461;-4.8789;-4.88144;3.58741;5.49115;10.7281;10.8781;-3.47608;9.95835;1.24311;-3.49913;8.24749;3.90987;-1.59608;-2.78351;-8.49077;2.51525;-4.01681;0.963153;-3.34842;7.14375;2.27726;3.08929;0.572043;-0.146795;0.78543;0.612392;-0.395158;0.472676;0.43831;-0.574118;0.230233;0.329425;-0.545989;0.225537;-0.658558;-0.29354;-0.589094;-0.578172;-0.380341;-0.453162;-0.504971;-0.377889;-0.503018;0.78501;-0.217173;0.544642;0.478181;-0.132882;0.826471;0.438261;-0.654767;0.244401;0.261556;-0.722347;0.19899;0.228949;-0.261237;-0.0064699;-0.605276;-0.521101;-0.514997;-0.503278;-0.633721;-0.499371;-0.409383;-0.244214;-0.422445
0.02;-2.82066;-2.70215;1.51949;2.83749;2.61984;1.33472;1.80488;-1.34853;2.26873;1.952;2.26562;1.95155;-0.126334;0.0182671;-40.9166;-40.2361;3.12433;0.816181;-0.784809;1.37889;47.5677;40.1417;4.44793;-8.64167;0.687477;-0.466042;2.5838;-8.36279;-1.87614;6.71316;-1.78773;22.4433;-1.01578;2.6215;-4.63361;-9.34815;1.83429;14.2323;-5.23939;-10.853;273.479;-0.619292;-0.10456;272.003;2.21276;-2.71197;270.491;-0.680325;-0.0674962;314.404;1.39548;0.903784;314.426;3.19967;0.904789;356.705;-0.929428;4.60332;267.901;3.79206;0.449231;269.709;5.68102;-0.387369;274.976;1.07883;-2.12189;233.232;0.938041;-0.954274;233.251;-0.410543;-0.954537;183.39;-0.729147;-1.88187;262.027;-9.16456;1.7608;285.022;-14.3351;-6.93938;274.397;-24.5446;11.7398;0;4.72024;5.87541;-2.96554;2.02745;10.9146;-1.33891;11.7638;-6.3543;-3.23885;11.0323;4.46467;-1.2922;-3.07237;1.94282;9.37696;1.88673;-3.1267;11.4878;19.3473;-4.50553;8.58181;-18.0753;4.46617;-0.67554;-8.54251;1.38868;5.71301;9.06599;-3.46664;-1.80756;9.2207;14.3846;-3.83238;-5.17489;-0.181854;8.2084;1.39175;-3.94215;0.838418;2.00841;-1.20394;3.34842;1.32292;2.71102;2.18824;0.572043;-0.146795;0.78543;0.612464;-0.395105;0.472746;0.438339;-0.574156;0.230309;0.329363;-0.54611;0.225537;-0.658503;-0.293665;-0.588978;-0.578232;-0.380341;-0.453161;-0.504925;-0.3779;-0.503033;0.785005;-0.21705;0.5447;0.47811;-0.13288;0.826514;0.438312;-0.654752;0.244517;0.261859;-0.722278;0.199232;0.228949;-0.261237;-0.00640886;-0.605187;-0.521138;-0.515035;-0.503328;-0.633646;-0.499421;-0.409326;-0.244277;-0.422449
0.03;-2.81833;-2.69145;1.52197;2.83447;2.60659;1.34267;1.80625;-1.35649;2.25605;1.9636;2.2519;1.9635;-0.132626;0.0202968;-40.8787;-40.2692;3.12247;0.807107;-0.781747;1.37889;47.5153;40.1757;4.44246;-8.64701;0.679027;-0.462314;2.5988;-8.36156;-1.87235;6.70719;-1.74574;22.4456;-0.999729;2.60842;-4.62161;-9.3512;1.84136;14.2205;-5.31273;-10.8554;273.479;-0.619292;-0.10456;272.003;2.20992;-2.6985;270.482;-0.680627;-0.0646576;314.365;1.38947;0.889416;314.387;3.1952;0.890624;356.716;-0.924019;4.58943;267.874;3.78545;0.442973;269.641;5.67275;-0.382466;274.985;1.08072;-2.12407;233.199;0.944899;-0.963919;233.219;-0.411747;-0.964171;183.39;-0.729147;-1.88187;262.018;-9.17052;1.76025;285.013;-14.3386;-6.92779;274.388;-24.5495;11.7435;0;4.76128;5.30834;-3.90653;-3.04118;6.16269;3.37406;14.3846;-7.4371;-4.09619;8.83449;-7.71859;-9.67063;8.14363;-5.28119;16.9183;-2.39584;7.1078;11.5304;18.4991;-0.606125;4.51517;-17.2058;-3.08606;0.63801;-6.95864;3.73207;2.77331;-2.8709;-4.06433;-2.22469;-4.05711;11.188;-0.99975;0.808577;-3.90987;1.59608;0.869845;-0.227431;0.104802;1.17157;0.240788;-0.318897;2.11667;-8.4584;-7.46578;0.572043;-0.146795;0.78543;0.612516;-0.394977;0.472984;0.438376;-0.574124;0.230419;0.329252;-0.54625;0.225483;-0.658433;-0.293783;-0.588848;-0.578348;-0.380214;-0.453278;-0.504925;-0.3779;-0.503033;0.785016;-0.216931;0.544707;0.478122;-0.132822;0.826534;0.438446;-0.654708;0.244646;0.26222;-0.722143;0.199656;0.228949;-0.261237;-0.0064699;-0.605129;-0.521202;-0.515037;-0.503369;-0.633682;-0.499341;-0.409331;-0.244341;-0.422393
0.04;-2.83883;-2.6826;1.51807;2.83765;2.59562;1.35062;1.80625;-1.35915;2.2474;1.9694;2.24367;1.96948;-0.129238;0.0311217;-40.8232;-40.2832;3.102;0.792417;-0.784103;1.38913;47.4409;40.1951;4.44902;-8.63418;0.681015;-0.461249;2.61273;-8.36523;-1.87614;6.70918;-1.70618;22.4305;-1.0063;2.59658;-4.62232;-9.34103;1.82369;14.2168;-5.36744;-10.8387;273.479;-0.6173;-0.109861;271.995;2.21479;-2.69302;270.482;-0.695986;-0.0678116;314.316;1.38707;0.882231;314.338;3.19222;0.883542;356.749;-0.915455;4.56338;267.857;3.77662;0.440738;269.589;5.66778;-0.395393;274.985;1.07883;-2.11753;233.183;0.940327;-0.981925;233.21;-0.41897;-0.981832;183.396;-0.72878;-1.88683;262.018;-9.1725;1.75689;284.994;-14.3476;-6.91814;274.388;-24.5471;11.7416;0;6.11579;7.92314;-3.8495;6.23441;-7.35068;-14.246;11.8829;-3.36237;-6.21573;4.05094;-10.014;-6.71109;0.555247;5.60955;1.65866;-10.4519;0.636248;-2.30183;11.2234;4.12165;-1.52499;-2.02886;-12.6701;1.61379;-11.4766;3.93458;4.54822;-2.2665;-4.30341;-4.86652;-4.79476;12.2535;3.999;2.1023;-5.09192;8.89244;11.308;1.4404;8.17458;7.02942;-0.722364;-1.11614;0.79375;2.3857;3.60417;0.572038;-0.146855;0.785423;0.612655;-0.394743;0.47324;0.438461;-0.574034;0.230554;0.329064;-0.546486;0.225419;-0.658357;-0.293716;-0.588896;-0.57841;-0.380154;-0.453401;-0.504967;-0.377825;-0.503075;0.785052;-0.21688;0.544672;0.478003;-0.132823;0.826602;0.438497;-0.654693;0.244762;0.262589;-0.722089;0.199902;0.228891;-0.261241;-0.00646999;-0.605091;-0.521221;-0.515056;-0.503315;-0.633813;-0.499226;-0.409311;-0.244329;-0.422373
0.05;-2.85002;-2.67042;1.5163;2.82359;2.60065;1.35619;1.81036;-1.35384;2.22895;1.95117;2.22502;1.94975;-0.136014;0.0602138;-40.8056;-40.2603;3.0713;0.770813;-0.78952;1.38276;47.4016;40.1822;4.45011;-8.6267;0.687974;-0.469238;2.61059;-8.37135;-1.87614;6.70719;-1.68841;22.4352;-1.02381;2.5972;-4.61031;-9.33492;1.8069;14.2153;-5.38141;-10.8316;273.479;-0.601758;-0.0945061;271.995;2.21642;-2.6828;270.482;-0.705322;-0.069704;314.296;1.37926;0.886542;314.328;3.18924;0.887673;356.771;-0.906891;4.53907;267.857;3.7689;0.446549;269.572;5.65951;-0.409212;274.985;1.08262;-2.11536;233.207;0.928135;-0.989641;233.235;-0.42499;-0.989058;183.409;-0.727315;-1.867;262.009;-9.17349;1.76471;284.994;-14.3494;-6.91235;274.388;-24.5398;11.7416;0;8.90688;5.93841;-4.84752;-1.67265;-6.08844;-3.6954;4.13967;-1.56721;0.690637;13.1871;-11.5274;-6.54435;6.737;11.2465;-2.38847;-10.7513;5.94437;-11.0616;10.0815;-1.73756;0.478428;-2.02886;-12.6701;1.61379;-12.1776;-0.433961;2.44051;-2.7198;7.05282;6.39599;14.1999;17.4036;2.666;6.63033;-5.81934;-2.28011;2.43557;-7.42943;9.85141;6.69469;-6.50128;4.62401;1.32292;6.72334;0.514881;0.572174;-0.146797;0.78532;0.612687;-0.394603;0.47334;0.438558;-0.574002;0.230724;0.328876;-0.546723;0.225354;-0.658351;-0.29353;-0.589073;-0.578469;-0.38003;-0.453583;-0.504994;-0.377906;-0.503163;0.785077;-0.216809;0.544646;0.477932;-0.13282;0.826646;0.438441;-0.654701;0.244826;0.262707;-0.72214;0.19996;0.228895;-0.261184;-0.00647009;-0.60509;-0.521282;-0.514995;-0.503331;-0.633833;-0.49918;-0.409317;-0.244272;-0.422379
0.06;-2.86306;-2.65788;1.51736;2.81756;2.57781;1.34903;1.81173;-1.34322;2.22895;1.92797;2.22557;1.92764;-0.120041;0.056831;-40.829;-40.2094;3.03594;0.767789;-0.798706;1.38525;47.419;40.1498;4.44028;-8.62028;0.684992;-0.472966;2.60094;-8.37502;-1.90457;6.69524;-1.65046;22.441;-1.02673;2.60281;-4.62514;-9.34306;1.77951;14.2161;-5.39887;-10.8387;273.471;-0.592193;-0.106022;271.995;2.21966;-2.67183;270.482;-0.714658;-0.0715965;314.316;1.38346;0.897079;314.338;3.1952;0.898297;356.771;-0.891115;4.51823;267.865;3.74905;0.44342;269.538;5.66778;-0.419018;274.976;1.07693;-2.09575;233.256;0.914418;-0.986426;233.276;-0.428602;-0.986649;183.422;-0.724384;-1.86205;262.009;-9.17647;1.76695;284.994;-14.3386;-6.91332;274.379;-24.5373;11.7453;0;-0.923525;7.6396;-0.741385;3.44667;-3.93521;-5.94477;4.28858;-5.61344;-1.7385;9.56711;-3.70795;3.54312;15.3989;16.6371;-1.34904;3.0547;1.89056;-5.43487;2.80585;-0.0202042;-3.16959;-2.02886;-12.6701;1.61379;-0.804918;9.83646;-5.10288;-9.82149;0.717236;0.41713;4.79476;-2.30863;-2.16613;0.646862;-0.909271;7.75238;0.695876;-3.79052;-1.25763;3.17998;-11.7986;-3.34842;0.79375;-2.81946;1.67336;0.572223;-0.146855;0.785303;0.612704;-0.394614;0.473231;0.438798;-0.573935;0.230966;0.328868;-0.546893;0.22541;-0.658411;-0.293285;-0.589317;-0.578533;-0.380032;-0.453646;-0.505043;-0.377897;-0.503211;0.785104;-0.216755;0.544604;0.477861;-0.132817;0.826689;0.438316;-0.654819;0.244886;0.262953;-0.722082;0.200022;0.22877;-0.26112;-0.00634793;-0.605071;-0.521327;-0.514979;-0.503341;-0.633784;-0.49919;-0.409328;-0.244278;-0.422329
0.07;-2.87378;-2.65198;1.51984;2.81472;2.56593;1.33392;1.80077;-1.34057;2.23414;1.91471;2.23106;1.91389;-0.117621;0.0554779;-40.902;-40.1344;3.00152;0.772326;-0.80483;1.38913;47.489;40.1045;4.44137;-8.61921;0.679027;-0.46551;2.5913;-8.37992;-1.90267;6.68329;-1.6117;22.4664;-1.02892;2.6078;-4.6202;-9.36035;1.76714;14.2234;-5.43146;-10.8601;273.462;-0.586215;-0.106753;271.995;2.22332;-2.66086;270.474;-0.721886;-0.0668654;314.365;1.39008;0.907616;314.397;3.19073;0.908921;356.76;-0.877593;4.49566;267.874;3.74353;0.442973;269.513;5.65951;-0.425259;274.976;1.07503;-2.09139;233.314;0.909846;-0.979996;233.333;-0.429806;-0.980227;183.435;-0.722185;-1.86205;262;-9.18243;1.76639;285.013;-14.3297;-6.92297;274.379;-24.5471;11.7527;0;2.89371;5.74939;-4.50534;2.73706;-7.49918;0.696234;-2.35276;-4.98656;2.09573;10.6014;-4.51512;-1.41725;5.70054;27.0079;-9.42119;-13.8659;1.65424;-6.79892;1.82707;3.07104;-3.2892;-2.02886;-12.6701;1.61379;3.66108;4.10817;2.49598;0.7555;4.54249;-8.89877;-10.696;-16.1604;3.3325;-6.14518;-15.1848;1.59608;0.869845;-3.56309;6.91695;10.2094;-2.64867;3.34842;3.175;-9.32592;-0.643601;0.572282;-0.146794;0.7853;0.612583;-0.394859;0.472927;0.438998;-0.573835;0.23128;0.328881;-0.547037;0.225541;-0.658556;-0.29299;-0.589521;-0.57852;-0.380085;-0.453636;-0.505102;-0.377835;-0.503271;0.78513;-0.216701;0.544561;0.477818;-0.132761;0.82672;0.438249;-0.654871;0.244882;0.263133;-0.722075;0.200203;0.228712;-0.261123;-0.00634802;-0.605013;-0.52139;-0.514981;-0.503394;-0.633653;-0.499305;-0.409392;-0.244341;-0.422332
0.08;-2.88543;-2.6398;1.51807;2.80986;2.54766;1.3371;1.80214;-1.35517;2.22722;1.90477;2.22447;1.90492;-0.110845;0.0270624;-40.9619;-40.0682;2.97733;0.780103;-0.810483;1.38968;47.5721;40.051;4.4523;-8.61173;0.680518;-0.463379;2.58165;-8.38237;-1.89888;6.67334;-1.5794;22.4907;-1.03986;2.60717;-4.62161;-9.36442;1.74947;14.219;-5.46289;-10.8899;273.462;-0.579441;-0.114797;271.995;2.22494;-2.65063;270.474;-0.731222;-0.0687578;314.424;1.39008;0.908574;314.456;3.19222;0.910101;356.738;-0.859113;4.47482;267.883;3.74464;0.442973;269.487;5.65786;-0.439078;274.985;1.07314;-2.08486;233.379;0.9228;-0.96199;233.407;-0.432214;-0.961762;183.448;-0.717788;-1.85379;262;-9.1854;1.76304;285.032;-14.3189;-6.92876;274.37;-24.5446;11.7545;0;-1.58025;8.75798;-11.8336;2.48363;9.31828;9.58661;-2.05494;-7.9785;-0.166705;9.73949;5.87723;-2.87618;3.40552;20.2765;-9.90773;-2.96485;3.18124;-10.1238;-9.65736;2.20226;-7.62495;-2.42409;-12.6318;-0.82566;-6.67303;11.6012;-2.77331;1.0577;5.73788;-11.5406;-3.87269;-14.9173;-0.99975;4.68975;-8.81993;-7.75238;2.43557;-1.36459;-1.88644;8.87046;-2.64867;-0.318897;3.70417;-4.98828;-1.02976;0.57231;-0.146862;0.785279;0.612392;-0.395158;0.472676;0.439232;-0.573761;0.23158;0.328999;-0.547152;0.225721;-0.658806;-0.292748;-0.589586;-0.578468;-0.380213;-0.453582;-0.505169;-0.377839;-0.503338;0.785155;-0.21663;0.544536;0.477746;-0.132758;0.826763;0.438206;-0.654898;0.244832;0.26332;-0.722085;0.200267;0.228654;-0.261127;-0.00640915;-0.604974;-0.52141;-0.515;-0.503494;-0.633503;-0.499404;-0.409383;-0.244336;-0.422262
0.09;-2.90173;-2.6505;1.51452;2.80032;2.55405;1.3379;1.81584;-1.36711;2.20704;1.88986;2.20473;1.88998;-0.103584;0.00405936;-41.013;-40.0148;2.95407;0.799546;-0.825793;1.37917;47.6399;40.0057;4.46322;-8.60852;0.670079;-0.447401;2.57415;-8.37747;-1.90078;6.6594;-1.56164;22.5115;-1.04132;2.59222;-4.60819;-9.36137;1.74328;14.2094;-5.47569;-10.9089;273.445;-0.565094;-0.108581;271.978;2.22981;-2.65138;270.465;-0.742666;-0.0589803;314.463;1.37625;0.915758;314.495;3.19222;0.917184;356.705;-0.854154;4.45572;267.883;3.74464;0.442973;269.47;5.65951;-0.442644;274.985;1.08831;-2.08268;233.42;0.941851;-0.937555;233.447;-0.423786;-0.937678;183.441;-0.717055;-1.84883;261.991;-9.19335;1.75745;285.051;-14.3135;-6.92297;274.37;-24.5349;11.7582;0;-0.574638;-0.80334;0.456237;4.30834;17.0773;2.73138;-5.53941;-5.15753;0.261966;-2.24094;0.857621;3.29302;-5.92264;8.48273;-6.21445;-6.07945;6.39883;-9.42044;-8.31968;-8.97066;-11.9607;-5.4542;-11.0983;-0.15012;-0.493337;11.3409;-6.04581;-3.1731;3.3471;-2.50278;11.9869;-9.58971;-5.83188;5.82175;-1.18205;0.456022;-2.95747;-3.6389;-1.04802;1.17157;6.74207;-9.24802;4.49792;-0.650646;-5.02009;0.572432;-0.146801;0.785216;0.612209;-0.395281;0.472554;0.439481;-0.573645;0.231887;0.329054;-0.547202;0.225961;-0.659038;-0.292682;-0.589515;-0.578464;-0.38021;-0.453518;-0.505157;-0.377891;-0.503326;0.785198;-0.216564;0.544524;0.477683;-0.132635;0.82682;0.438206;-0.654898;0.244832;0.263452;-0.72205;0.200336;0.228706;-0.260995;-0.00640889;-0.604897;-0.521457;-0.515048;-0.503633;-0.633402;-0.499422;-0.4094;-0.244285;-0.422218
