"Time,s","Lumbar Flexion,deg","Lumbar Lateral - RT,deg","Lumbar Axial - RT,deg","Thoracic Flexion,deg","Thoracic Lateral - RT,deg","Thoracic Axial - RT,deg","LT Ellbogen Flexion,deg","RT Ellbogen Flexion,deg","LT Shoulder Total Flexion,deg","RT Shoulder Total Flexion,deg","LT Schulter Flexion,deg","RT Schulter Flexion,deg","LT Schulter Abduktion,deg","RT Schulter Abduktion,deg","LT Shoulder Rotation - out,deg","RT Shoulder Rotation - out,deg","LT Wrist Extension,deg","RT Wrist Extension,deg","LT Wrist Radial,deg","RT Wrist Radial,deg","LT Hand Supination,deg","RT Hand Supination,deg","LT Hüfte Flexion,deg","RT Hüfte Flexion,deg","LT Hüfte Abduktion,deg","RT Hüfte Abduktion,deg","LT Hip Rotation - out,deg","RT Hip Rotation - out,deg","LT Knie Flexion,deg","RT Knie Flexion,deg","LT Knee rotation - out,deg","RT Knee rotation - out,deg","LT Knee abduction,deg","RT Knee abduction,deg","LT Sprunggelenk Dorsiflexion,deg","RT Sprunggelenk Dorsiflexion,deg","LT Ankle Inversion,deg","RT Ankle Inversion,deg","LT Ankle Abduction,deg","RT Ankle Abduction,deg","Upper spine course,deg","Upper spine pitch,deg","Upper spine roll,deg","Lower spine course,deg","Lower spine pitch,deg","Lower spine roll,deg","Becken course,deg","Becken pitch,deg","Becken roll,deg","LT Upper arm course,deg","LT Upper arm pitch,deg","LT Upper arm roll,deg","LT Forearm course,deg","LT Forearm pitch,deg","LT Forearm roll,deg","LT Hand course,deg","LT Hand pitch,deg","LT Hand roll,deg","LT Thigh course,deg","LT Thigh pitch,deg","LT Thigh roll,deg","LT Shank course,deg","LT Shank pitch,deg","LT Shank roll,deg","LT Foot course,deg","LT Foot pitch,deg","LT Foot roll,deg","RT Upper arm course,deg","RT Upper arm pitch,deg","RT Upper arm roll,deg","RT Forearm course,deg","RT Forearm pitch,deg","RT Forearm roll,deg","RT Hand course,deg","RT Hand pitch,deg","RT Hand roll,deg","RT Thigh course,deg","RT Thigh pitch,deg","RT Thigh roll,deg","RT Shank course,deg","RT Shank pitch,deg","RT Shank roll,deg","RT Foot course,deg","RT Foot pitch,deg","RT Foot roll,deg","Noraxon MyoMotion.Sync,An","Upper spine Accel Earth X,mG","Upper spine Accel Earth Y,mG","Upper spine Accel Earth Z,mG","LT Upper arm Accel Earth X,mG","LT Upper arm Accel Earth Y,mG","LT Upper arm Accel Earth Z,mG","LT Forearm Accel Earth X,mG","LT Forearm Accel Earth Y,mG","LT Forearm Accel Earth Z,mG","LT Hand Accel Earth X,mG","LT Hand Accel Earth Y,mG","LT Hand Accel Earth Z,mG","RT Upper arm Accel Earth X,mG","RT Upper arm Accel Earth Y,mG","RT Upper arm Accel Earth Z,mG","RT Forearm Accel Earth X,mG","RT Forearm Accel Earth Y,mG","RT Forearm Accel Earth Z,mG","RT Hand Accel Earth X,mG","RT Hand Accel Earth Y,mG","RT Hand Accel Earth Z,mG","Lower spine Accel Earth X,mG","Lower spine Accel Earth Y,mG","Lower spine Accel Earth Z,mG","Becken Accel Earth X,mG","Becken Accel Earth Y,mG","Becken Accel Earth Z,mG","LT Thigh Accel Earth X,mG","LT Thigh Accel Earth Y,mG","LT Thigh Accel Earth Z,mG","LT Shank Accel Earth X,mG","LT Shank Accel Earth Y,mG","LT Shank Accel Earth Z,mG","LT Foot Accel Earth X,mG","LT Foot Accel Earth Y,mG","LT Foot Accel Earth Z,mG","RT Thigh Accel Earth X,mG","RT Thigh Accel Earth Y,mG","RT Thigh Accel Earth Z,mG","RT Shank Accel Earth X,mG","RT Shank Accel Earth Y,mG","RT Shank Accel Earth Z,mG","RT Foot Accel Earth X,mG","RT Foot Accel Earth Y,mG","RT Foot Accel Earth Z,mG","Upper spine Rot X,","Upper spine Rot Y,","Upper spine Rot Z,","LT Upper arm Rot X,","LT Upper arm Rot Y,","LT Upper arm Rot Z,","LT Forearm Rot X,","LT Forearm Rot Y,","LT Forearm Rot Z,","LT Hand Rot X,","LT Hand Rot Y,","LT Hand Rot Z,","RT Upper arm Rot X,","RT Upper arm Rot Y,","RT Upper arm Rot Z,","RT Forearm Rot X,","RT Forearm Rot Y,","RT Forearm Rot Z,","RT Hand Rot X,","RT Hand Rot Y,","RT Hand Rot Z,","Lower spine Rot X,","Lower spine Rot Y,","Lower spine Rot Z,","Becken Rot X,","Becken Rot Y,","Becken Rot Z,","LT Thigh Rot X,","LT Thigh Rot Y,","LT Thigh Rot Z,","LT Shank Rot X,","LT Shank Rot Y,","LT Shank Rot Z,","LT Foot Rot X,","LT Foot Rot Y,","LT Foot Rot Z,","RT Thigh Rot X,","RT Thigh Rot Y,","RT Thigh Rot Z,","RT Shank Rot X,","RT Shank Rot Y,","RT Shank Rot Z,","RT Foot Rot X,","RT Foot Rot Y,","RT Foot Rot Z,"
0,-0.270324,-0.596515,-5.89494,2.70998,1.80178,5.28847,0.13478,-0.99743,4.11299,3.1504,3.95482,3.03681,-1.13401,-0.839146,-43.2847,-37.799,10.3357,0.508377,-1.41921,1.0174,54.0277,45.3743,5.36216,-10.5873,1.06051,-0.341895,3.49038,-6.7335,-1.80043,13.1371,-3.06793,23.5655,-1.33156,3.71906,-8.01073,-18.151,-0.098562,17.2485,-6.55858,-14.8496,274.006,-2.37958,-0.56392,268.608,0.286718,-2.14173,274.512,0.235258,-1.50432,317.229,2.30812,-0.154853,317.229,2.44231,-0.154532,352.599,-5.10722,8.87797,270.865,5.55714,-0.79258,273.93,7.45907,-1.72825,280.727,-0.346693,-1.66695,236.2,0.688248,-0.185624,236.202,-0.309081,-0.185893,191.569,0.0167613,-0.992264,267.944,-10.4147,0.0471927,293.068,-20.0476,-13.1379,279.357,-40.17,13.5084,0,-0.482289,-12.376,-1.93076,3.35447,2.83981,-15.2047,-3.91091,2.38885,-3.24672,16.7701,-33.9931,-16.6465,52.2562,-19.6334,-5.89976,-2.76587,-2.30217,-4.49858,10.3443,5.84757,-4.05359,-17.1,-6.69436,-5.6164,0.548641,-0.51547,-1.25167,-2.25962,-7.72102,5.74324,4.18616,16.0821,-0.923305,-4.36707,2.5125,5.29563,-19.1356,-1.31551,-20.7717,-27.0913,-27.2428,-1.51181,17.1897,-7.88947,0.726279,0.565151,-0.141974,0.790198,0.590979,-0.430691,0.450956,0.419707,-0.590373,0.219315,0.347062,-0.505028,0.2364,-0.660019,-0.292379,-0.59605,-0.587759,-0.363802,-0.477337,-0.51937,-0.369766,-0.530478,0.794103,-0.18171,0.551722,0.472978,-0.143132,0.817351,0.437659,-0.664546,0.221821,0.229754,-0.729974,0.161572,0.215649,-0.266494,-0.0246596,-0.621872,-0.493689,-0.542154,-0.495701,-0.644454,-0.529151,-0.447894,-0.339735,-0.472004
0.01,-0.280995,-0.604788,-5.89285,2.69481,1.80785,5.29036,0.129085,-0.99743,4.10915,3.13011,3.94791,3.012,-1.1435,-0.852145,-43.2216,-37.7775,10.3338,0.516192,-1.43595,1.0104,53.9985,45.3917,5.34018,-10.5924,1.02423,-0.354644,3.86241,-6.69901,-1.83612,13.1163,-3.49251,23.4772,-1.30698,3.75799,-8.0202,-18.1338,-0.0763061,17.3012,-6.52971,-14.7809,273.981,-2.35726,-0.563749,268.592,0.293769,-2.15,274.486,0.23222,-1.50355,317.147,2.3254,-0.154177,317.146,2.45484,-0.154532,352.532,-5.11462,8.87072,270.466,5.52402,-0.861966,273.958,7.47973,-1.71749,280.727,-0.340273,-1.67651,236.2,0.69355,-0.172744,236.202,-0.303109,-0.172924,191.589,0.0196763,-0.987743,267.953,-10.4222,0.0558861,292.981,-20.0457,-13.1265,279.348,-40.1443,13.5106,0,3.0968,-7.10097,-1.0913,-3.74911,6.49787,-6.87603,-11.9628,3.48205,6.4258,15.6384,-23.7365,-13.6447,52.4384,-9.51742,-5.09785,-16.8337,-1.70919,-8.52637,-0.148839,-4.28126,-11.5207,-11.1522,-9.62784,-7.43689,-1.29679,0.281166,-1.83579,-40.4472,-2.42661,8.29578,5.47421,-1.87625,-6.46314,-10.5324,3.29766,15.5339,-36.3251,-2.75061,-20.5738,-19.6592,-35.7958,7.25671,5.03114,-7.88947,-0.907849,0.565327,-0.141912,0.790128,0.591413,-0.430269,0.451266,0.420436,-0.590063,0.220045,0.347252,-0.504855,0.236832,-0.66008,-0.29244,-0.595989,-0.588215,-0.363232,-0.477799,-0.519444,-0.369715,-0.530554,0.79417,-0.181589,0.551725,0.472988,-0.143014,0.817429,0.440033,-0.663437,0.223709,0.229629,-0.729904,0.161387,0.215766,-0.266487,-0.0246589,-0.62193,-0.493686,-0.542152,-0.495274,-0.644821,-0.528907,-0.447898,-0.339555,-0.471947
0.02,-0.298186,-0.627127,-5.88919,2.68415,1.80785,5.29792,0.113899,-1.00202,4.0957,3.11895,3.93754,2.9966,-1.13338,-0.865866,-43.1716,-37.6385,10.3117,0.510982,-1.44683,1.00022,53.9898,45.2804,5.30658,-10.5976,0.973701,-0.361018,4.18025,-6.69073,-1.87974,13.0955,-3.86604,23.3923,-1.29557,3.80543,-8.02231,-18.1212,-0.0678276,17.3688,-6.49457,-14.6744,273.965,-2.32982,-0.567864,268.567,0.309632,-2.15614,274.46,0.231545,-1.48585,317.086,2.33404,-0.139977,317.084,2.44857,-0.139489,352.476,-5.12529,8.85382,270.121,5.48428,-0.922769,273.985,7.49523,-1.71693,280.717,-0.327432,-1.68367,236.317,0.709458,-0.171986,236.32,-0.292657,-0.171843,191.596,0.0218626,-0.983223,267.935,-10.4247,0.0788615,292.856,-20.0384,-13.1073,279.357,-40.1134,13.5084,0,9.64578,-9.91881,-2.30852,-1.5128,11.1186,0.87161,-12.883,5.10161,-0.6764,12.3461,-28.4985,-12.735,41.3796,-13.4681,0.973747,-21.7455,-8.23202,-9.2587,6.47451,-5.53431,-7.39602,-10.4552,-5.16494,-9.33484,-12.2696,3.93632,-2.4199,-66.2068,24.9279,11.1674,5.63521,-16.3502,-7.07867,-17.4683,1.72735,10.9443,-42.4874,-11.72,-7.71519,-2.39746,-10.7704,9.07089,-7.96597,-2.15167,1.99727,0.565526,-0.141916,0.790027,0.591769,-0.429834,0.451502,0.421052,-0.589766,0.220903,0.347372,-0.50473,0.237319,-0.660484,-0.291697,-0.596273,-0.588647,-0.362686,-0.47823,-0.51949,-0.369704,-0.530599,0.794285,-0.181465,0.55166,0.473046,-0.142768,0.817484,0.442041,-0.662513,0.225415,0.229505,-0.729898,0.161142,0.215886,-0.266424,-0.0246587,-0.621936,-0.493874,-0.541973,-0.494726,-0.64531,-0.528542,-0.447898,-0.339311,-0.471947
0.03,-0.320713,-0.647397,-5.88344,2.68202,1.80131,5.29697,0.108204,-1.00202,4.06977,3.1088,3.91767,2.98035,-1.10617,-0.883919,-43.1172,-37.399,10.284,0.510114,-1.446,0.994495,53.9781,45.0752,5.27815,-10.6002,0.932887,-0.376664,4.42193,-6.72798,-1.9194,13.0851,-4.15615,23.359,-1.29645,3.85166,-8.03284,-18.1018,-0.0773659,17.4331,-6.46946,-14.5748,273.948,-2.30471,-0.577122,268.542,0.331958,-2.16121,274.425,0.23087,-1.46853,317.004,2.3254,-0.125776,317.001,2.43186,-0.125813,352.41,-5.13104,8.83449,269.856,5.44984,-0.967119,274.012,7.51245,-1.72429,280.717,-0.321012,-1.67889,236.535,0.722183,-0.166682,236.539,-0.279218,-0.166439,191.61,0.0276926,-0.983223,267.861,-10.4247,0.119224,292.74,-20.0347,-13.0937,279.367,-40.0826,13.4995,0,3.83293,-6.3796,-0.461704,-2.36786,18.0978,-1.54953,-7.7068,-6.5997,-8.455,6.89324,-21.5387,-2.63797,13.7932,-17.3588,-2.23389,-27.7541,-2.61611,0.209236,-5.50705,-4.15073,-0.497809,-5.8549,-10.7812,-0.0774676,-10.4242,-2.95224,0.584115,-93.5482,27.3545,16.2725,15.9396,-16.6182,-7.69421,0.77066,-2.04141,6.00172,-22.7032,-9.68692,12.8586,12.9463,2.53421,8.46616,-12.5779,-9.32392,1.08942,0.565704,-0.141914,0.789959,0.592083,-0.42929,0.451875,0.42142,-0.589585,0.221575,0.347557,-0.504611,0.23787,-0.661126,-0.290429,-0.596851,-0.589028,-0.362267,-0.478547,-0.519564,-0.369652,-0.530612,0.794427,-0.181348,0.551552,0.473103,-0.142523,0.817539,0.443576,-0.661793,0.226763,0.229447,-0.729909,0.1609,0.215889,-0.266367,-0.0246591,-0.62184,-0.494335,-0.541577,-0.494168,-0.645788,-0.528228,-0.447849,-0.339076,-0.47196
0.04,-0.35154,-0.655256,-5.88919,2.68344,1.7901,5.30359,0.0816274,-1.0112,4.05344,3.1088,3.90816,2.9735,-1.07706,-0.910639,-43.0542,-37.0995,10.2317,0.503168,-1.4393,0.98686,53.9606,44.8067,5.2704,-10.5924,0.903734,-0.385936,4.56254,-6.78732,-1.93922,13.0788,-4.32922,23.3923,-1.29206,3.87478,-8.04652,-18.0938,-0.0805453,17.4627,-6.45189,-14.5348,273.923,-2.28006,-0.586381,268.509,0.357223,-2.16148,274.408,0.225807,-1.45814,316.922,2.32324,-0.102785,316.918,2.4047,-0.102565,352.354,-5.13351,8.79585,269.688,5.43261,-0.997878,274.021,7.5245,-1.72712,280.707,-0.323152,-1.67889,236.812,0.747635,-0.159864,236.817,-0.262794,-0.159954,191.617,0.0400814,-0.980962,267.778,-10.4197,0.149651,292.682,-20.0218,-13.0915,279.357,-40.0594,13.4929,0,-1.52302,0.766454,0.461704,-10.5238,8.4713,11.3309,-14.9535,-4.4133,11.4988,6.17305,-13.4067,2.91086,1.1545,-1.49645,-1.20286,-38.3884,-4.53458,-2.98162,-8.03732,-8.79747,-0.568925,-3.02039,-20.6848,0.581007,-13.9654,-5.81076,-0.33378,-101.005,28.8987,7.33858,24.7949,-5.36071,-5.23206,-5.65151,-13.0336,-6.7078,-12.3246,-2.63101,7.71519,19.8989,21.8576,11.7922,-2.51557,-0.358612,0.726279,0.565882,-0.141913,0.789891,0.592491,-0.428666,0.452227,0.421611,-0.589474,0.22219,0.347678,-0.504609,0.238479,-0.66197,-0.288837,-0.597512,-0.589278,-0.361966,-0.478735,-0.519671,-0.369641,-0.530596,0.7946,-0.181163,0.551423,0.473109,-0.142342,0.81761,0.444542,-0.66135,0.227551,0.229443,-0.729896,0.160775,0.215889,-0.266367,-0.0245981,-0.621632,-0.494852,-0.541181,-0.493867,-0.645976,-0.52811,-0.447776,-0.338945,-0.471886
0.05,-0.364582,-0.664771,-5.88083,2.6806,1.77982,5.30265,0.0474578,-1.02497,4.05248,3.11591,3.91335,2.97521,-1.05364,-0.927971,-42.978,-36.7738,10.185,0.493183,-1.43302,0.974771,53.9256,44.5077,5.25618,-10.6028,0.884299,-0.387675,4.58012,-6.83285,-1.95707,13.0684,-4.35412,23.4756,-1.31049,3.86991,-8.04441,-18.0881,-0.0943228,17.4563,-6.46319,-14.5416,273.898,-2.26239,-0.592039,268.484,0.371323,-2.15827,274.373,0.226145,-1.44429,316.819,2.32756,-0.0770886,316.814,2.37545,-0.0779495,352.287,-5.14665,8.76204,269.635,5.41804,-1.0036,273.994,7.52967,-1.74807,280.698,-0.312452,-1.68606,237.113,0.770965,-0.157591,237.112,-0.253835,-0.157793,191.617,0.0415389,-0.971921,267.695,-10.4285,0.175731,292.682,-20.0125,-13.0915,279.357,-40.044,13.4862,0,5.17826,0.608654,2.51839,-1.5128,-12.7551,11.3309,-11.1576,-8.34073,10.8224,3.70383,-4.98174,3.27472,-16.9529,4.78864,2.23389,-36.8147,-0.104644,3.08623,-6.62335,-3.81137,3.84024,-16.5889,-17.8265,4.53185,-10.9728,-4.9204,2.25301,-107.106,10.5888,0.638137,1.12704,-4.82464,-5.53983,2.31198,-4.39688,-6.35476,8.43262,2.27224,24.1347,9.58985,7.60264,0.907089,1.67705,3.94474,5.9918,0.566023,-0.141857,0.789857,0.593006,-0.427953,0.452614,0.421709,-0.589379,0.222726,0.34774,-0.504549,0.23909,-0.662848,-0.287078,-0.598266,-0.589393,-0.3619,-0.47879,-0.519677,-0.369707,-0.530602,0.794716,-0.180978,0.551357,0.473175,-0.142099,0.817679,0.444788,-0.661231,0.227857,0.229692,-0.72991,0.160778,0.21601,-0.266304,-0.0245368,-0.621374,-0.49539,-0.540864,-0.493879,-0.645931,-0.528123,-0.447712,-0.338882,-0.471822
0.06,-0.381181,-0.680904,-5.8803,2.65833,1.77888,5.29414,0,-1.03414,4.02654,3.09967,3.88915,2.9581,-1.04668,-0.927971,-42.9128,-36.46,10.1503,0.470607,-1.41335,0.96459,53.8819,44.2283,5.26135,-10.6041,0.868751,-0.375505,4.46294,-6.86321,-1.95509,13.0788,-4.20471,23.5639,-1.32103,3.84071,-8.03284,-18.0664,-0.114459,17.4268,-6.5021,-14.5726,273.864,-2.22286,-0.595125,268.46,0.387774,-2.16468,274.347,0.22682,-1.43274,316.716,2.3362,-0.0676216,316.721,2.33576,-0.0670093,352.243,-5.15486,8.72581,269.732,5.42467,-0.996447,273.94,7.52967,-1.77186,280.688,-0.297471,-1.68845,237.39,0.787933,-0.168955,237.39,-0.246369,-0.1686,191.617,0.0429964,-0.96062,267.64,-10.4272,0.180077,292.721,-20.0144,-13.0971,279.348,-40.0286,13.4729,0,0.507672,0.293056,-0.923409,-8.48483,-12.8032,15.8827,-4.7161,-0.688313,17.1806,-14.6096,-16.2639,19.2845,-22.3,11.373,3.60859,-34.9072,-0.348814,0.993872,-9.30245,1.25305,0.355578,-23.3731,-17.0242,2.82757,-25.3871,-8.20066,6.92593,-97.6155,3.08841,6.38137,-13.0415,-11.2575,-7.07867,-14.6425,-15.5461,20.4764,9.72995,-1.4351,17.2108,-0.719239,10.4536,4.83781,-1.67705,-6.81364,1.27099,0.566323,-0.141794,0.789726,0.593492,-0.427341,0.453039,0.421663,-0.5894,0.223222,0.347795,-0.504541,0.239636,-0.66361,-0.285355,-0.599032,-0.589338,-0.361965,-0.478734,-0.519683,-0.369772,-0.530609,0.794831,-0.180854,0.551291,0.473228,-0.141913,0.817727,0.444246,-0.661548,0.227373,0.230116,-0.7299,0.160959,0.216133,-0.266184,-0.024476,-0.62115,-0.495711,-0.540698,-0.494047,-0.645789,-0.528228,-0.447599,-0.338828,-0.471771
0.07,-0.410821,-0.685041,-5.89128,2.65383,1.76674,5.29508,-0.0379662,-1.06321,4.0131,3.10373,3.87878,2.96238,-1.03213,-0.927971,-42.8541,-36.1785,10.0999,0.431969,-1.40247,0.965863,53.8381,43.9729,5.28461,-10.6105,0.864216,-0.363336,4.19636,-6.87976,-1.94121,13.0809,-3.89841,23.6355,-1.34209,3.80908,-8.02652,-18.0458,-0.137775,17.4004,-6.54854,-14.5909,273.823,-2.1931,-0.601126,268.426,0.412451,-2.16094,274.321,0.221419,-1.42235,316.624,2.34484,-0.0507162,316.627,2.30651,-0.0505988,352.198,-5.15815,8.68234,269.98,5.44851,-0.967119,273.876,7.52967,-1.80243,280.668,-0.286771,-1.69322,237.641,0.813384,-0.190169,237.643,-0.249356,-0.190216,191.61,0.0495552,-0.947058,267.594,-10.4398,0.183182,292.76,-20.0254,-13.0983,279.357,-40.0209,13.4596,0,1.21841,-0.0225428,-4.78494,-8.09019,-29.0238,15.5921,1.84043,2.26738,19.4803,-8.74515,-5.86087,12.0073,-33.1158,21.3095,0.859188,-32.5228,-2.40682,3.13854,-16.2979,2.42779,7.3249,-14.4979,-17.6761,6.42981,-4.73827,-5.85762,-4.25569,-70.5001,-5.07381,4.46696,-16.1006,5.62874,3.69322,-10.0186,-12.7195,-5.64868,10.7029,-9.08896,8.11084,-13.186,-5.70198,-0.604726,-5.03114,-10.0411,6.35494,0.566553,-0.14173,0.789646,0.593975,-0.426727,0.453401,0.421777,-0.589328,0.223768,0.347808,-0.504621,0.240133,-0.664294,-0.283773,-0.599653,-0.589161,-0.362213,-0.478617,-0.519694,-0.369902,-0.530559,0.795013,-0.18061,0.551168,0.473234,-0.141732,0.817797,0.442845,-0.662283,0.226153,0.230606,-0.729908,0.161144,0.216254,-0.266121,-0.0244147,-0.620943,-0.495997,-0.540616,-0.494237,-0.645677,-0.528298,-0.447528,-0.338759,-0.471821
0.08,-0.423863,-0.677181,-5.91586,2.6479,1.7387,5.29603,-0.0930173,-1.08157,3.99869,3.09663,3.86409,2.95639,-1.03213,-0.922194,-42.828,-35.9629,10.0614,0.399843,-1.39033,0.963318,53.8498,43.783,5.29883,-10.6273,0.865512,-0.346531,3.83605,-6.89218,-1.92138,13.0872,-3.50496,23.6655,-1.35701,3.77989,-8.01494,-18.0263,-0.146253,17.374,-6.58745,-14.6012,273.797,-2.15962,-0.606098,268.393,0.440065,-2.1412,274.321,0.234245,-1.40696,316.572,2.36212,-0.0419254,316.565,2.26681,-0.0410261,352.131,-5.16061,8.64612,270.334,5.48295,-0.917762,273.84,7.52967,-1.81942,280.678,-0.27179,-1.70039,237.817,0.830352,-0.212141,237.82,-0.252342,-0.211831,191.603,0.0502839,-0.935757,267.576,-10.4448,0.184424,292.769,-20.0402,-13.0881,279.348,-40.0157,13.4552,0,-0.634591,-0.202885,-1.7209,-3.81489,-17.9052,18.1101,-0.115027,0.931247,15.0161,-10.0826,5.34805,16.1007,-46.1799,21.9679,-2.97852,-23.5576,0.627866,0.313854,-26.7166,4.51621,-1.06673,-16.7748,-21.4871,6.35234,-15.8607,-16.3076,7.00938,-27.7933,-10.3682,-1.91441,-13.2025,10.7214,0.307768,-8.73415,-8.0086,-6.35476,15.5679,-12.9159,13.8478,-16.063,-10.4536,-0.604726,-10.0623,-12.91,-2.90512,0.566811,-0.141672,0.789543,0.594348,-0.426366,0.453589,0.42191,-0.58916,0.224445,0.347928,-0.504618,0.240742,-0.664784,-0.282553,-0.600142,-0.589025,-0.362449,-0.478484,-0.51967,-0.370007,-0.530535,0.795213,-0.180308,0.550997,0.47336,-0.141611,0.817744,0.440774,-0.663328,0.224385,0.230908,-0.729898,0.161264,0.216373,-0.266056,-0.0244755,-0.62084,-0.496135,-0.540572,-0.494368,-0.645687,-0.528245,-0.447474,-0.338764,-0.471767
0.09,-0.438684,-0.660634,-5.93729,2.63179,1.71721,5.3017,-0.12339,-1.0984,3.9814,3.08648,3.84768,2.94613,-1.02516,-0.922194,-42.8388,-35.8335,10.0103,0.375097,-1.39912,0.967772,53.8848,43.6673,5.3376,-10.6273,0.884299,-0.353485,3.42154,-6.90736,-1.89759,13.0955,-3.0891,23.6921,-1.37194,3.77745,-8.01073,-18.0126,-0.152612,17.3614,-6.59499,-14.5966,273.764,-2.13079,-0.608156,268.36,0.451816,-2.12439,274.304,0.230533,-1.40542,316.552,2.36752,-0.0290773,316.555,2.24592,-0.0287183,352.087,-5.15815,8.59781,270.741,5.52534,-0.85982,273.822,7.53311,-1.82962,280.668,-0.26109,-1.70516,237.918,0.844138,-0.222748,237.921,-0.253835,-0.222639,191.589,0.0597577,-0.928976,267.548,-10.4473,0.196843,292.769,-20.0494,-13.0881,279.357,-40.0106,13.4397,0,-5.02596,-3.04327,10.7451,0.197322,-23.6811,14.9142,1.49535,-6.15433,5.54648,-15.4326,4.17587,15.6459,-54.4436,20.8306,-6.41527,-26.848,0.279051,-1.83082,-30.3632,-8.77136,0.213347,-6.50545,-25.0976,10.2257,-16.2597,-9.27846,-4.50603,8.58655,-14.339,-0.957206,-22.8629,15.278,-3.69322,1.54132,2.04141,-4.23651,0.972994,-7.41468,2.57173,-21.0977,-8.23619,2.11654,-5.03114,3.40682,-2.36041,0.567035,-0.141606,0.789454,0.594515,-0.426171,0.453638,0.422193,-0.588946,0.225104,0.347978,-0.504724,0.241284,-0.66508,-0.281878,-0.600379,-0.588925,-0.362707,-0.478319,-0.51968,-0.370137,-0.530423,0.795337,-0.180004,0.550937,0.473349,-0.141547,0.817786,0.438445,-0.664474,0.222366,0.231033,-0.729905,0.161265,0.216447,-0.266011,-0.024477,-0.620777,-0.496316,-0.540448,-0.494356,-0.645733,-0.528232,-0.447358,-0.338769,-0.471773
